"","state","date","newcase","aggcase","newdeath","aggdeath","avgtraffic","uninsured","station","park","grocery","workplace","residential","SAHdate","density","pop","region","SAHduration","order_placed","death_rate","infect_rate","policy"
"36","Alabama",2020-04-07,192,2197,11,64,72.3776581690769,434328,-27.2727272727273,-13.5384615384615,-10.9032258064516,-37.3538461538462,17.0333333333333,2020-04-04,97,4908621,"South",4,"Y",2.91306326809285,0.0447579880377809,"Medium"
"37","Alabama",2020-04-06,165,2006,8,53,71.6384377501515,435104,-28.7272727272727,1.30769230769231,-10.3225806451613,-35.1363636363636,15.5666666666667,2020-04-04,97,4908621,"South",3,"Y",2.64207377866401,0.0408668748310371,"Medium"
"38","Alabama",2020-03-21,24,131,0,0,116.767236194762,283047,-12.1,18.3,5.47619047619048,-16.6842105263158,8.6,2020-04-04,97,4908621,"South",0,"N",0,0.00266877397949444,NA
"39","Alabama",2020-04-30,143,7068,10,272,71.2382053097015,438049,-12.3809523809524,17.9090909090909,7.40625,-30.955223880597,13.0645161290323,2020-04-04,97,4908621,"South",27,"Y",3.84833050367855,0.143991560969975,"Loose"
"40","Alabama",2020-04-27,118,6539,9,228,71.2382053097015,438049,-19.9090909090909,18,-1.2,-31.1641791044776,12.9354838709677,2020-04-04,97,4908621,"South",24,"Y",3.48677167762655,0.133214603449726,"Loose"
"41","Alabama",2020-04-22,283,5610,15,201,71.2382053097015,438049,-18.7272727272727,13.1,0.911764705882353,-33.7761194029851,13.9032258064516,2020-04-04,97,4908621,"South",19,"Y",3.58288770053476,0.114288717747816,"Medium"
"42","Alabama",2020-04-01,105,1108,14,28,72.8164002996774,425429,-16.7142857142857,21.1818181818182,9.30909090909091,-33.6129032258064,13.5483870967742,2020-04-04,97,4908621,"South",0,"N",2.52707581227437,0.0225725310632049,NA
"43","Alabama",2020-04-15,288,4241,9,123,71.2382053097015,438049,-21.0869565217391,11.7,1.85294117647059,-34.7611940298507,14.1333333333333,2020-04-04,97,4908621,"South",12,"Y",2.90025937278944,0.0863990110460759,"Medium"
"44","Alabama",2020-04-11,254,3262,13,93,71.6384377501515,435104,-36.0909090909091,22.3333333333333,4.93939393939394,-26.2307692307692,10.0555555555556,2020-04-04,97,4908621,"South",8,"Y",2.85101164929491,0.0664545093214571,"Loose"
"45","Alabama",2020-04-21,249,5327,22,186,71.2382053097015,438049,-18.3636363636364,17.7272727272727,-1.3030303030303,-32.8805970149254,13.3,2020-04-04,97,4908621,"South",18,"Y",3.4916463300169,0.108523351059289,"Loose"
"46","Alabama",2020-03-30,112,947,6,11,74.1075872505085,418081,-23.85,6.75,-9.2,-32.1864406779661,13.6896551724138,2020-04-04,97,4908621,"South",0,"N",1.16156282998944,0.0192925874700858,NA
"47","Alabama",2020-03-31,52,999,3,14,74.1075872505085,418081,-22.6,-19.1538461538462,-10.6363636363636,-35,16.6071428571429,2020-04-04,97,4908621,"South",0,"N",1.4014014014014,0.0203519481337019,NA
